ad_id,image_path,text,dimensions,Click-through(CTR),Cost per Click(CPC),Return on Ad Spend(ROAS),Conversion(Value less than CTR),Purchase_Conversion_rate,ClassLabel_final
1.00,image_1,"$3
STULZ
Differential for 2nd Shift
Manufacturing
Job Fair
July 22 | 10AM-2PM","(300, 250)",32,0.148094154,7.856046788,5,2,comic_book
2.00,image_2,"Amphenol
Single Pair
Ethernet (SPE)
IP67 Cables
and Connectors
Compatible
with IEC
63171-6
interconnect
Digi-Key Schedule Shipments
Learn More >>
AUTHORIZED DISTRIBUTOR","(300, 250)",89,0.076811309,1.929230369,25,3,web_site
3.00,image_3,"JULIANNE MOORE
GLORIA BELL
Backup Plan
ARRIVAL
pluto
POPCORN
SUMMER
MOVIES
1000s OF FREE MOVIES
Stream Free","(300, 600)",22,0.321941085,3.954166882,4,1,web_site
4.00,image_4,"CODING
ACADEMY
2022
TO CODE FAST TODAY!
WYTHON RUSAK
ON SALE NOW","(728, 90)",23,0.342930856,1.879519109,4,1,organ
5.00,image_5,"MARKET RESEARCH REPORT
embedded
Survey
Powered by ASPENCORE
Insights and Data on the current
state of Embedded Development
FREE DOWNLOAD","(300, 250)",13,0.386746696,3.266077411,4,0,web_site
6.00,image_6,"Seismic
Ready to bring speed, simplicity, and
success to your go-to-market teams?","(728, 90)",71,0.282861796,6.920807277,18,4,web_site
7.00,image_7,"6TH ANNUAL CONFERENCE
4.19.23
BREAKING
BARRIERS
Finding Purpose & Possibilities Together
A conference featuring international speakers
Nadine Burke Harris, Dacher Keltner, BJ Miller,
Jeffrey Swanson, and Anna Malaika Tubbs.
LEARN MORE
HOWARD
H CENTER
Help is here.","(300, 250)",30,0.371623288,5.787874176,5,1,web_site
8.00,image_8,"SHIN MEGAMI TENSEL
AVAILABLE NOW
ATLUS","(728, 90)",2,0.732045447,8.793830233,0,0,paintbrush
9.00,image_9,"VULTURE
into
with
Sam Sanders
Apple Podcasts","(300, 250)",3,0.218265124,2.38306541,1,1,envelope
10.00,image_10,"A world of
cybersecurity
insights at your
fingertips.
Register and Watch On Demand.
LEARN MORE
Stronger
Together
RSAConference 2023
San Francisco | April 24-27 | Moscone Center","(300, 250)",42,0.816281357,2.799910574,7,2,web_site
11.00,image_11,"2012
34
19
wala
WHY YES
ACTUALLY
I CAN DRIVE
A STICK
NOVL
ZOLUCKY
- UP TO-
50%
shop now","(728, 90)",5,0.222771403,3.101682288,0,0,grille
12.00,image_12,"Lokeys
BODY SHOP
FAMILY OWNED. QUALITY WORK. GREAT SERVICE.
806-352-8399
2800 CLIMER CIR, AMARILLO, TX 79124","(300, 250)",27,0.531769618,1.470305313,4,3,cash_machine
13.00,image_13,"logitech
PERFORMANCE TOOLS THAT
KEEP UP WITH YOUR CODE.
MX KEYS S COMBO
LEARN MORE","(728, 90)",4,0.99591306,6.431031112,2,0,comic_book
14.00,image_14,"CONTINUE TO RECIPE
3 Steps to Get Recipe:
1: Click ""Continue To Recipe""
2: Add RecipeForMe Extension
3: Get Recipe
RecipeForMe","(970, 250)",18,0.339245837,6.214803787,6,0,soap_dispenser
15.00,image_15,"POWER UP
YOUR SAVINGS!
%
3.50 APY*
POWER Savings Account $10,000 Minimum
Learn More
FRANKLIN MINT
FEDERAL CREDIT UNION
The Credit Union of Choice!
O
*Annual Percentage Yield (APY) accurate as of 3/13/23.
Membership eligibility applies. Federally insured by NCUA.","(300, 250)",32,0.284116221,9.614159263,6,2,street_sign
16.00,image_16,"START >
1
Tap on ""Start""
2 Activate your account
3 Access your content
✪ Online Activation","(300, 600)",4,0.415596263,4.797262408,0,0,web_site
17.00,image_17,"smart
care
O
design
build
& install
repair
prevent","(300, 250)",16,0.042728772,9.630991655,3,1,web_site
18.00,image_18,"1st Grade
2nd Grade
3rd Grade
4th Grade
5th Grade
6th Grade
7th Grade
8th Grade
High School
AdaptedMind","(728, 90)",17,0.189027258,6.779922671,7,1,lipstick
19.00,image_19,"RECORD EAGLE
FISHING PHOTO CONTEST
PRESENTED BY
JAY'S
SPORTING GOODS
CLICK HERE TO SUBMIT
YOUR PHOTO
FOR YOUR CHANCE TO WIN
A $100 GIFT CARD FROM
JAY'S OR DOWNTOWN TC
GIFT CARDS!","(728, 90)",23,0.563799043,7.898994871,6,0,book_jacket
20.00,image_20,"TREE
SANTOR
Match On!
The Showstopper,
Luchador!","(300, 600)",25,0.943992763,9.869173211,4,0,comic_book
21.00,image_21,"Local experts connecting
customers to YOUR business.
COMMUNITY NEW
DIGITAL
65","(300, 250)",83,0.326285445,8.0609877,15,3,marimba
22.00,image_22,"Auto Loans
>>Low Rates
>>Local Decisions
Done Right! >> Easy Online Process
NCUA
А
ADVENTURE
CREDIT UNION
Learn More>>>","(728, 90)",2,0.361915695,8.592807951,2,1,wine_bottle
23.00,image_23,"+30% higher protein expression
TriLink
BIOTECHNOLOGIES
part of Maravai LifeSciences","(970, 90)",11,0.545474339,6.788129968,2,0,chime
24.00,image_24,"E-books
THEOLOGICAL WORKS
FROM OUR LIBRARY
TO YOURS...
RICHARD SIBBES
THOMAS GOODWIN
FRANCES HAVERGAL
JOHN FLAVEL
...AND MORE","(300, 250)",45,0.449712911,6.434039012,11,4,menu
25.00,image_25,"sal slickdeals
GET THE EXTENSION
BEST
BUY
Ⓒ TARGET.
Walmart
COSTCO
WHOLESALE
Coupons for
3,000+ Stores","(728, 90)",33,0.453207323,8.858964354,10,2,ballpoint
26.00,image_26,"$
$
PROMO CODES
AVAILABLE
Get automatic savings at checkout.
Capital One Shopping
Unlock FREE Coupons
The coupon-finding browser extension","(970, 250)",36,0.953659637,7.883870279,12,1,menu
27.00,image_27,"envato elements
TOP FONTS FOR EVERY PROJECT
SERIF
SANS SERIF
SCRIPT
DECORATIVE VINTAGE & MORE E
START NOW","(300, 250)",60,0.242553167,6.480964063,14,0,web_site
28.00,image_28,"Need a
coupon code?
Get It Here
I
|
I
I
Coupert!","(300, 250)",15,0.963131246,1.929739008,6,2,web_site
29.00,image_29,"RAISING
FAMILIES
the
JESUS
WAY
MAY
Raise Godly Kids Today to Transform Tomorrow
SHOP NOW","(728, 90)",1,0.845597903,5.099140531,0,0,scoreboard
30.00,image_30,"GlobalSpec
Specification Guides
Detailed, unbiased explanations of a wide
range of industrial products and services.
▸ Plan your next project!
ANCHE
$T","(300, 250)",31,0.348830856,0.076052922,8,3,rule
31.00,image_31,"Three Ways
You Can Make
a Difference
cookies
for kids' cancer
Let's get Baking","(300, 250)",3,0.016355963,1.119072206,0,0,web_site
32.00,image_32,"SPICE UP YOUR LIFE
ESSENTIAL
SPICE
一
SHOP NOW","(970, 90)",45,0.478452877,4.675312335,11,1,paintbrush
33.00,image_33,"Cabela's
INTENSITY
PERFORMANCE.
CLARITY. VALUE.
UPGRADE YOUR
OPTICS
SHOP NOW
Am
S","(300, 250)",44,0.45930442,2.830055645,11,1,mountain_bike
34.00,image_34,"Third of Life
BYE-BYE
CELLULITE
glatte Beine mit
Cellulite Leggings","(300, 250)",19,0.998902126,6.812240629,2,1,maillot
35.00,image_35,"2023
COROLLA
buyatoyota.com
COROLLA LE SHOWN","(728, 90)",41,0.840587533,8.089878885,9,3,racer
36.00,image_36,"res
BOOGIE DOWN TO BOOFY'S
FOR SOME GROOVY DEALS!
PASEO & GOLF COURSE CUTLER @ 1-40 & SAN MATEO
0
Boofy's
Best for Pets","(728, 90)",74,0.774431142,2.68564025,16,3,paintbrush
37.00,image_37,"Autodesk is putting
the Flex in flexibility.
Pay-as-you-go product access
Learn more
AUTODESK","(300, 250)",45,0.634850509,3.297378418,8,1,web_site
38.00,image_38,"Newchic
FASHION
www
ےےے
e","(300, 600)",21,0.983647326,8.064831409,7,2,holster
39.00,image_39,"Practical, Deep-Dive Case Studies From A Wide Range Of North American Operators On Cost Effective, IOT & Edge Enabled
JANUARY 25-27
Onshore Wellsite Automation 2022 LIVE IN HOUSTON
Making New Technology, Data & Process Work Together To Extract Full Value From Automation
& ONLINE","(728, 90)",98,0.019439411,1.427760644,21,8,rule
40.00,image_40,"ROCK
SHOH
CONFIDENCE
CHANGES
EVERYTHING
SM
ALL TOP
RockShox.com.","(728, 90)",33,0.023455435,5.27477884,6,1,picket_fence
41.00,image_41,"HIT BY A TRUCK?
JEFF'S
HERE
U
consultation by appointment only
WRONGFUL DEATH / COMMERCIAL VEHICLE ACCIDENT
DAVIS RECENT $6 MILLION
RESULT:
LAW FIRM
$3,509,864
HARLINGEN
MCALLEN
BROWNSVILLE
SAN ANTONIO
444-4444
TO
NEN:
CLIENT:","(300, 250)",10,0.579961669,6.8277602,2,0,comic_book
42.00,image_42,"abe
7ப
MERICAN
Tim & Faith Leave Fans Stunned With Announcement","(728, 90)",77,0.009613251,6.203994497,22,3,fountain_pen
43.00,image_43,"ETS TOEFL IBT.
The
TOEFL IBT test
Register before 31st July to
SAVE 1,500!
Code: CARR20
Register Now","(300, 250)",36,0.921190071,5.706308478,9,1,packet
44.00,image_44,"Start
PDFtab.com","(970, 250)",64,0.152394608,7.330847869,19,4,envelope
45.00,image_45,"Mak
Dai
मई
is
FREE
JustFashion Now
UP TO
45% OFF
SHOP NOW","(728, 90)",15,0.819891287,7.514559052,3,0,binder
46.00,image_46,"OVERBEACH
SHOE
RETRO STYLE,
MODERN COMBATANT
CLICK FOR DETAILS
CHIE
VERMACY
VIKTOS","(300, 600)",45,0.463013531,7.806364147,9,2,running_shoe
47.00,image_47,"Get Started
1. Click ""Get Started""
2. Add Extension
3. Start Converting
*Online File Converter by
""Convert Files 4 Free""","(300, 600)",6,0.497596322,1.264831941,0,0,web_site
48.00,image_48,"ден
Hinge
Health""
MSK PAIN: The BILLION dollar
health care burden.
Download the State of MSK Care →","(728, 90)",32,0.708069002,7.616626246,7,2,street_sign
49.00,image_49,"CORROSIONPEDIA™
Join 13K
industry professionals.
Sign up to the Best of
Corrosionpedia newsletter!
Subscribe today >>","(728, 90)",66,0.55644151,7.896811613,14,3,jean
50.00,image_50,"SEE CODES
3 Easy Steps:
1: Click ""See Codes""
2: Download Shopping Extension
3: Apply Coupon Codes!
Capital One
Shopping","(300, 250)",6,0.16055828,5.570774874,0,0,envelope
51.00,image_51,"Strong & Beautiful
Tents without Fire Retardants or PFOAs
THETENTLAB
W MAGA","(970, 250)",40,0.016818795,6.095215603,6,2,picket_fence
52.00,image_52,"1
BASIX MON
Seaguar 101
SeaGuar
VALUE-PACKED & BUDGET FRIENDLY
GET ALL THE SEAGUAR PERFORMANCE YOU COUNT ON AT PRICES EVERYBODY WILL LOVE
BASIX™ FLUORORO
TACTX™ BRAID
TV
TACTX R
Seaguar 101","(970, 90)",95,0.936677282,0.819763333,31,2,book_jacket
53.00,image_53,"terminus
Get The
Blueprint To
Account-
Based
Marketing
For Free
We Power
High-Performing
Marketing Teams ™M
ACCESS NOW
Ⓒ
0","(160, 600)",7,0.295204738,7.205088904,2,0,rubber_eraser
54.00,image_54,"HELP US CELEBRATE 30 YEARS
OF CONNECTING
HOOSIERS
Must be 18 or older to play. Please play responsibly. Problem Gambling Helpline: 1-800-994-8448.
Learn more
ΤΗ
LOTTERY.
ANNIVERSARY","(728, 90)",38,0.796930562,5.689882792,9,1,street_sign
55.00,image_55,"INSTALL NOW - REMOVE ALL ADS
TURN OFF ALL ADS
Remove Ads
TOTAL Adblock","(728, 90)",90,0.248827871,5.419453462,14,2,web_site
56.00,image_56,"HERO
WARS
YOU HAVE ONLY
2 MOVES
TRY","(300, 250)",3,0.535370559,3.703985265,0,0,crossword_puzzle
57.00,image_57,"ManageEngine
Service Desk Plus
FREE
IT Help Desk
Software E
Try for free","(728, 90)",15,0.76717209,9.415438651,3,0,chime
58.00,image_58,"NORDIC
NATURALS
ULTIMATE
omega
a heart, bien
#1 Fish Oil & Algae Oil Brand in the U.S.
Get the Ultimate Omega-3
Shop Now","(728, 90)",63,0.54307617,6.454679713,21,6,binder
